Title,Abbreviation,Class,ArXiv,ArXiv v1 Date,ArXiv New Version,ArXiv New Date,Publication,Publication Date,DOI,Authors,OpenSource,Official Code,HuggingFace,Demo Page,Page Number,Cite Number,Google Scholar,Cited by,Theory,Propose,Architecture,Tasks,Datasets,Compare Methods,Tags,AR/NAR,Update Time
VoiceLoop: Voice Fitting and Synthesis via A Phonological Loop,VoiceLoop,,https://arxiv.org/abs/1707.06588,2017.07.20,v3,2018.02.01,ICLR2018Poster,2018.02.16,https://openreview.net/forum?id=SkFAWax0-,"Yaniv Taigman, Lior Wolf, Adam Polyak, Eliya Nachmani",,https://github.com/facebookarchive/loop,,,,,https://scholar.google.com/scholar?cluster=14159878382438547497,191,,,,,,,,,2024.10.25
Deep Voice 3: Scaling Text-to-Speech with Convolutional Sequence Learning,DeepVoice3,,https://arxiv.org/abs/1710.07654,2017.10.20,v3,2018.02.22,ICLR2018Poster,2018.02.16,https://openreview.net/forum?id=HJtEm4p6Z,"Wei Ping, Kainan Peng, Andrew Gibiansky, Sercan O. Arik, Ajay Kannan, Sharan Narang, Jonathan Raiman, John Miller",,,,,,,https://scholar.google.com/scholar?cluster=1828409622662260131,546,,,,TTS,,,,,2024.10.25
Neural Discrete Representation Learning,VQ-VAE,Trick,https://arxiv.org/abs/1711.00937,2017.11.02,v2,2018.05.30,NeurIPS2017,2017.12.04,https://dl.acm.org/doi/abs/10.5555/3295222.3295378,"Aaron van den Oord, Oriol Vinyals, Koray Kavukcuoglu",,,,,,,https://scholar.google.com/scholar?cluster=9141153084529999933,4522,,,,,,,,,2024.10.25
Decoupled Weight Decay Regularization,AdamW,Optimizer,https://arxiv.org/abs/1711.05101,2017.11.14,v3,2019.01.04,ICLR2019,,,"Ilya Loshchilov, Frank Hutter",,https://github.com/loshchil/AdamW-and-SGDW,,,,,,,,,,,,,,,2024.10.25
Parallel WaveNet: Fast High-Fidelity Speech Synthesis,Parallel WaveNet,Vocoder,https://arxiv.org/abs/1711.10433,2017.11.28,v1,2017.11.28,,,,,,,,,,,,,,,,TTS,,,,,2024.09.24
Natural TTS Synthesis by Conditioning WaveNet on Mel Spectrogram Predictions,Tacotron2,,https://arxiv.org/abs/1712.05884,2017.12.16,v2,2018.02.16,ICASSP2018,,,,,,,,,,,,,,,TTS,,,,,2024.09.24
Adversarial Audio Synthesis,WaveGAN,Vocoder,https://arxiv.org/abs/1802.04208,2018.02.12,v3,2019.02.09,ICLR2019,,,,,,,,,,,,,,,,,,,,2024.09.21
Efficient Neural Audio Synthesis,WaveRNN,Vocoder,https://arxiv.org/abs/1802.08435,2018.02.23,v2,2018.06.25,,,,,,,,,,,,,,,,,,,,,2024.09.21
Transfer Learning from Speaker Verification to Multispeaker Text-to-Speech Synthesis,SV2TTS,,https://arxiv.org/abs/1806.04558,2018.06.12,v4,2019.01.02,NeurIPS2018,2018.12.03,https://dl.acm.org/doi/abs/10.5555/3327345.3327360,,,,,,,,https://scholar.google.com/scholar?cluster=14002861277903846410,961,,,,TTS,,,,,2024.09.24
Representation Learning with Contrastive Predictive Coding,CPC,Representation,https://arxiv.org/abs/1807.03748,2018.07.10,v2,2019.01.22,,,,,,,,,,,https://scholar.google.com/scholar?cluster=3606056486908097181,9408,,,,,,,,,2024.09.24
ClariNet: Parallel Wave Generation in End-to-End Text-to-Speech,ClariNet,,https://arxiv.org/abs/1807.07281,2018.07.19,v3,2019.02.22,ICLR2019Poster,2018.12.21,https://openreview.net/forum?id=HklY120cYm,,,,,,,,https://scholar.google.com/scholar?cluster=1675505652651694755,413,,,,TTS,,,,,2024.09.24
Neural Speech Synthesis with Transformer Network,Transformer TTS,,https://arxiv.org/abs/1809.08895,2018.09.19,v3,2019.01.30,AAAI2019,2019.07.17,https://doi.org/10.1609/aaai.v33i01.33016706,,,,,,,,,,,,,TTS,,,,,2024.10.10
BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding,BERT,TextLM,https://arxiv.org/abs/1810.04805,2018.10.11,v2,2019.05.24,,,,"Jacob Devlin, Ming-Wei Chang, Kenton Lee, Kristina Toutanova",,,,,,,[Unavailable],112766,,,,,,,,,2024.10.23
LPCNet: Improving Neural Speech Synthesis Through Linear Prediction,LPCNet,Vocoder,https://arxiv.org/abs/1810.11846,2018.10.28,v2,2019.02.19,ICASSP2019,,,,,,,,,,,,,,,TTS,,,,,2024.09.24
WaveGlow: A Flow-Based Generative Network for Speech Synthesis,WaveGlow,Vocoder,https://arxiv.org/abs/1811.00002,2018.10.31,v1,2018.10.31,,,,,,,,,,,,,Flow,,,TTS,,,,,2024.09.24
FloWaveNet : A Generative Flow for Raw Audio,FloWaveNet,Vocoder,https://arxiv.org/abs/1811.02155,2018.11.06,v3,2019.05.20,ICML2019,,,,,,,,,,,,,,,,,,,,2024.09.21
Flow++: Improving Flow-Based Generative Models with Variational Dequantization and Architecture Design,Flow++,Image,https://arxiv.org/abs/1902.00275,2019.02.01,v2,2019.05.15,ICML2019,,https://proceedings.mlr.press/v97/ho19a,,,,,,,,https://scholar.google.com/scholar?cluster=7151289546461544772,486,Flow,,,,,,,,2024.09.24
GANSynth: Adversarial Neural Audio Synthesis,GANSynth,Vocoder,https://arxiv.org/abs/1902.08710,2019.02.23,v2,2019.04.15,,,,,,,,,,,,,,,,,,,,,2024.09.21
LibriTTS: A Corpus Derived from LibriSpeech for Text-to-Speech,LibriTTS,Dataset,https://arxiv.org/abs/1904.02882,2019.04.05,v1,2019.04.05,InterSpeech2019,2019.09.15,https://doi.org/10.21437/Interspeech.2019-2441,"Heiga Zen, Viet Dang, Rob Clark, Yu Zhang, Ron J. Weiss, Ye Jia, Zhifeng Chen, Yonghui Wu",,,,,,,https://scholar.google.com/scholar?cluster=2687491316639568904,885,,,,TTS,,,,,2024.10.08
Wav2Vec: Unsupervised Pre-Training for Speech Recognition,Wav2Vec,Representation,https://arxiv.org/abs/1904.05862,2019.04.11,v4,2019.09.11,InterSpeech2019,2019.09.15,https://doi.org/10.21437/Interspeech.2019-1873,"Steffen Schneider, Alexei Baevski, Ronan Collobert, Michael Auli",,https://github.com/pytorch/fairseq,,,,,https://scholar.google.com/scholar?cluster=613778405574274068,1576,,,,,,,,,2024.10.08
MOSNet: Deep Learning-Based Objective Assessment for Voice Conversion,MOSNet,,https://arxiv.org/abs/1904.08352,2019.04.17,v3,2021.07.14,InterSpeech2019,2019.09.15,https://doi.org/10.21437/Interspeech.2019-2003,"Chen-Chou Lo, Szu-Wei Fu, Wen-Chin Huang, Xin Wang, Junichi Yamagishi, Yu Tsao, Hsin-Min Wang",,,,,,,https://scholar.google.com/scholar?cluster=7203377453771793013,294,,,,,,,,,2024.10.10
Non-Autoregressive Neural Text-to-Speech,ParaNet,,https://arxiv.org/abs/1905.08459,2019.05.21,v3,2020.06.29,ICML2020,,,,,,,,,,,,,,,TTS,,,,NAR,2024.09.24
FastSpeech: Fast Robust and Controllable Text to Speech,FastSpeech,,https://arxiv.org/abs/1905.09263,2019.05.22,v5,2019.11.20,NeurIPS2019,,,,,,,,,,,,,,,TTS,,,,,2024.09.24
RoBERTa: A Robustly Optimized BERT Pretraining Approach,RoBERTa,TextLM,https://arxiv.org/abs/1907.11692,2019.07.26,v1,2019.07.26,,,,,,,,,,,[Unavailable],15137,,,,,,,,,2024.10.23
High Fidelity Speech Synthesis with Adversarial Networks,GAN-TTS,Vocoder,https://arxiv.org/abs/1909.11646,2019.09.25,v2,2019.09.26,,,,,,,,,,,,,,,,TTS,,,,,2024.09.24
MelGAN: Generative Adversarial Networks for Conditional Waveform Synthesis,MelGAN,Vocoder,https://arxiv.org/abs/1910.06711,2019.10.08,v3,2019.12.09,NeurIPS2019,,,,,,,,,,,,,,,,,,,,2024.10.10
vq-wav2vec: Self-Supervised Learning of Discrete Speech Representations,VQ-Wav2Vec,Representation,https://arxiv.org/abs/1910.05453,2019.10.12,v3,2020.02.16,ICLR2020Poster,,https://openreview.net/forum?id=rylwJxrYDS,,,,,,,,https://scholar.google.com/scholar?cluster=1142923229168041752,716,,,,,,,,,2024.09.23
WaveFlow: A Compact Flow-Based Model for Raw Audio,WaveFlow,Vocoder,https://arxiv.org/abs/1912.01219,2019.12.03,v4,2020.06.24,ICML2020,,,,,,,,,,,,Flow,,,,,,,,2024.09.24
AlignTTS: Efficient Feed-Forward Text-to-Speech System without Explicit Alignment,AlignTTS,,https://arxiv.org/abs/2003.01950,2020.03.04,v1,2020.03.04,ICASSP2020,,,,,,,,,,https://scholar.google.com/scholar?cluster=1600438380822500245,86,,,,TTS,,,,,2024.09.24
Flow-TTS: A Non-Autoregressive Network for Text to Speech Based on Flow,Flow-TTS,,[Unavailable],2020.04.09,[Unavailable],[Unavailable],ICASSP2020,2020.04.09,https://doi.org/10.1109/ICASSP40776.2020.9054484,,,,,,,,https://scholar.google.com/scholar?cluster=7765078935283625839,134,Flow,,,TTS,,,,NAR,2024.09.24
Flowtron: An Autoregressive Flow-Based Generative Network for Text-to-Speech Synthesis,Flowtron,,https://arxiv.org/abs/2005.05957,2020.05.12,v3,2020.07.16,ICLR2021Poster,2021.01.12,https://openreview.net/forum?id=Ig53hpHxS4,,,https://github.com/NVIDIA/flowtron,,,10,,,170,Flow,,,TTS,,,,AR,2024.09.24
JDI-T: Jointly Trained Duration Informed Transformer for Text-to-Speech without Explicit Alignment,JDI-T,,https://arxiv.org/abs/2005.07799,2020.05.15,v3,2020.10.05,InterSpeech2020,2020.10.25,https://doi.org/10.21437/Interspeech.2020-2123,"Dan Lim, Won Jang, Gyeonghwan O, Heayoung Park, Bongwan Kim, Jaesam Yoon",,,,,,,https://scholar.google.com/scholar?cluster=7479320311701544613,45,,,,TTS,,,,,2024.10.08
Glow-TTS: A Generative Flow for Text-to-Speech via Monotonic Alignment Search,Glow-TTS,,https://arxiv.org/abs/2005.11129,2020.05.22,v2,2020.10.23,NeurIPS2020,,,,,,,,,,,,Flow,,,TTS,,,,,2024.09.24
Language Models are Few-Shot Learners,GPT-3,TextLM,https://arxiv.org/abs/2005.14165,2020.05.28,v4,2020.07.22,,,,,,,,,,,,,,,,,,,Few-Shot,,2024.10.23
End-to-End Adversarial Text-to-Speech,EATS,,https://arxiv.org/abs/2006.03575,2020.06.05,v3,2021.03.17,ICLR2021Oral,,,,,,,,,,,,,,,TTS,,,,,2024.09.24
MultiSpeech: Multi-Speaker Text to Speech with Transformer,MultiSpeech,,https://arxiv.org/abs/2006.04664,2020.06.08,v2,2022.08.01,,,,,,,,,,,,,,,,TTS,,,Multi-Speaker,,2024.09.24
FastSpeech 2: Fast and High-Quality End-to-End Text to Speech,FastSpeech2,,https://arxiv.org/abs/2006.04558,2020.06.08,v8,2022.08.08,ICLR2021,,,,,,,https://speechresearch.github.io/fastspeech2/,,,,,,,,TTS,,,,,2024.09.24
NanoFlow: Scalable Normalizing Flows with Sublinear Parameter Complexity,NanoFlow,Vocoder,https://arxiv.org/abs/2006.06280,2020.06.11,v4,2020.10.23,NeurIPS2020,,,,,https://github.com/L0SG/NanoFlow,,,,,,,Flow,,,,,,,,2024.09.24
FastPitch: Parallel Text-to-speech with Pitch Prediction,FastPitch,,https://arxiv.org/abs/2006.06873,2020.06.11,v2,2021.02.16,ICASSP2021,,,,,,,,,,,,,,,TTS,,,,,2024.09.24
wav2vec 2.0: A Framework for Self-Supervised Learning of Speech Representations,Wav2Vec 2.0,Representation,https://arxiv.org/abs/2006.11477,2020.06.20,v3,2020.10.22,NeurIPS2020,,,,,,,,,,,,,,,,,,,,2024.09.21
VocGAN: A High-Fidelity Real-Time Vocoder with A Hierarchically-Nested Adversarial Network,VocGAN,Vocoder,https://arxiv.org/abs/2007.15256,2020.07.30,v1,2020.07.30,InterSpeech2020,2020.10.25,https://doi.org/10.21437/Interspeech.2020-1238,"Jinhyeok Yang, Junmo Lee, Youngik Kim, Hoon-Young Cho, Injung Kim",,,,,,,https://scholar.google.com/scholar?cluster=9472340814284569042,93,,,,,,,,,2024.10.08
SpeedySpeech: Efficient Neural Speech Synthesis,SpeedySpeech,,https://arxiv.org/abs/2008.03802,2020.08.09,v1,2020.08.09,InterSpeech2020,2020.10.25,https://doi.org/10.21437/Interspeech.2020-2867,"Jan Vainer, Ondrej Dusek",,,,,,,https://scholar.google.com/scholar?cluster=9573017801428970202,55,,,,TTS,,,,,2024.10.08
WaveGrad: Estimating Gradients for Waveform Generation,WaveGrad,Vocoder,https://arxiv.org/abs/2009.00713,2020.09.02,v2,2020.10.09,ICLR2021Poster,,,,,,,https://wavegrad.github.io/,,,https://scholar.google.com/scholar?cluster=9166479714962885889,724,,,,,,,,,2024.09.23
DiffWave: A Versatile Diffusion Model for Audio Synthesis,DiffWave,Vocoder,https://arxiv.org/abs/2009.09761,2020.09.21,v3,2021.03.30,ICLR2021Oral,,,,,,,,,,https://scholar.google.com/scholar?cluster=8775132726722534164,1176,Diffusion,,,,,,,,2024.09.24
HiFi-GAN: Generative Adversarial Networks for Efficient and High Fidelity Speech Synthesis,HiFi-GAN,Vocoder,https://arxiv.org/abs/2010.05646,2020.10.12,v2,2020.10.23,NeurIPS2020,,,,,https://github.com/jik876/hifi-gan,,,,,,,,,,TTS,,,,,2024.09.24
Reformer-TTS: Neural Speech Synthesis with Reformer Network,Reformer-TTS,,[Unavailable],2020.10.25,[Unavailable],[Unavailable],InterSpeech2020,2020.10.25,https://doi.org/10.21437/Interspeech.2020-2189,"Hyeong Rae Ihm, Joun Yeop Lee, Byoung Jin Choi, Sung Jun Cheon, Nam Soo Kim",,,,,,,https://scholar.google.com/scholar?cluster=6050518452267327546,11,,,,,,,,,2024.10.10
Bidirectional Variational Inference for Non-Autoregressive Text-to-Speech,BVAE-TTS,,[Unavailable],2021.01.13,[Unavailable],[Unavailable],ICLR2021Poster,2021.01.13,https://openreview.net/forum?id=o3iritJHLfO,,,https://github.com/LEEYOONHYUNG/BVAE-TTS,,,,,,,,,,TTS,,,,NAR,2024.09.24
On Generative Spoken Language Modeling from Raw Audio,GSLM,SpeechLM,https://arxiv.org/abs/2102.01192,2021.02.01,v2,2021.09.09,MIT@TACL2021,2022.01.04,https://doi.org/10.1162/tacl_a_00430,"Kushal Lakhotia, Evgeny Kharitonov, Wei-Ning Hsu, Yossi Adi, Adam Polyak, Benjamin Bolte, Tu-Anh Nguyen, Jade Copet, Alexei Baevski, Adelrahman Mohamed, Emmanuel Dupoux",,https://github.com/pytorch/fairseq/tree/master/examples/textless_nlp/gslm,,https://speechbot.github.io/gslm/,19,X,https://scholar.google.com/scholar?cluster=10339951252730122651,317,,,CPC/Wav2Vec2.0/HuBERT+Transformer (FairSeq)+Tacotron2+WaveGlow,Acoustic Unit Discovery/Spoken Language Modeling/Discrete Speech Resynthesis/Speech Generation,,,,,2024.10.23
LightSpeech: Lightweight and Fast Text to Speech with Neural Architecture Search,LightSpeech,,https://arxiv.org/abs/2102.04040,2021.02.08,v1,2021.02.08,ICASSP2021,2021.05.13,https://doi.org/10.1109/ICASSP39728.2021.9414403,"Renqian Luo, Xu Tan, Rui Wang, Tao Qin, Jinzhu Li, Sheng Zhao, Enhong Chen, Tie-Yan Liu",,,,https://speechresearch.github.io/lightspeech,,,https://scholar.google.com/scholar?cluster=12714255025013417554,70,,,,TTS,,,,,2024.10.18
AdaSpeech: Adaptive Text to Speech for Custom Voice,AdaSpeech,,https://arxiv.org/abs/2103.00993,2021.03.01,v1,2021.03.01,ICLR2021Poster,2021.01.12,https://openreview.net/forum?id=Drynvt7gg4L,"Mingjian Chen, Xu Tan, Bohan Li, Yanqing Liu, Tao Qin, Sheng Zhao, Tie-Yan Liu",,,,https://speechresearch.github.io/adaspeech/,,,https://scholar.google.com/scholar?cluster=5695102233701284044,178,,,,TTS,,,,,2024.10.18
Expressive Text-to-Speech using Style Tag,ST-TTS,,https://arxiv.org/abs/2104.00436,2021.04.01,v2,2022.10.06,InterSpeech2021,2021.08.30,https://doi.org/10.21437/Interspeech.2021-465,,,,,,,,,,,,,TTS,,,,,2024.09.24
Diff-TTS: A Denoising Diffusion Model for Text-to-Speech,Diff-TTS,,https://arxiv.org/abs/2104.01409,2021.04.03,v1,2021.04.03,InterSpeech2021,2021.08.30,https://doi.org/10.21437/Interspeech.2021-469,,,,,,,,https://scholar.google.com/scholar?cluster=386505123268486129,184,Diffusion,,,TTS,,,,,2024.09.24
AdaSpeech 2: Adaptive Text to Speech with Untranscribed Data,AdaSpeech2,,https://arxiv.org/abs/2104.09715,2021.04.20,v1,2021.04.20,ICASSP2021,,,,,,,https://speechresearch.github.io/adaspeech2/,,,,,,,,TTS,,,,,2024.09.24
Grad-TTS: A Diffusion Probabilistic Model for Text-to-Speech,Grad-TTS,,https://arxiv.org/abs/2105.06337,2021.05.13,v2,2021.08.05,ICML2021,,https://proceedings.mlr.press/v139/popov21a,,,,,,,,https://scholar.google.com/scholar?cluster=6905767521784147251,450,Diffusion,,,TTS,,,,,2024.09.24
ByT5: Towards A Token-Free Future with Pre-Trained Byte-to-Byte Models,ByT5,TextLM,https://arxiv.org/abs/2105.13626,2021.05.28,v3,2022.03.08,MIT@TACL2022,,https://doi.org/10.1162/tacl_a_00461,,,,,,,,https://scholar.google.com/scholar?cluster=765429917132805319,371,,,,,,,,,2024.10.23
Conditional Variational Autoencoder with Adversarial Learning for End-to-End Text-to-Speech,VITS,,https://arxiv.org/abs/2106.06103,2021.06.11,v1,2021.06.11,ICML2021,,https://proceedings.mlr.press/v139/kim21f,,Training+Inference+Weight,https://github.com/jaywalnut310/vits,,https://jaywalnut310.github.io/vits-demo/index.html,15,45,,720,,,,TTS,LJSpeech/VCTK,Tacotron2+HiFi-GAN/Glow-TTS+HiFi-GAN,,,2024.09.24
PriorGrad: Improving Conditional Denoising Diffusion Models with Data-Dependent Adaptive Prior,PriorGrad,Vocoder,https://arxiv.org/abs/2106.06406,2021.06.11,v2,2022.02.20,,,,,,,,https://speechresearch.github.io/priorgrad/,,,,,Diffusion,,,,,,,,2024.09.24
HuBERT: Self-Supervised Speech Representation Learning by Masked Prediction of Hidden Units,HuBERT,Representation,https://arxiv.org/abs/2106.07447,2021.06.14,v1,2021.06.14,IEEE/ACM@TASLP2021,,,,,,,,,,,,,,,,,,,,2024.10.10
UnivNet: A Neural Vocoder with Multi-Resolution Spectrogram Discriminators for High-Fidelity Waveform Generation,UnivNet,Vocoder,https://arxiv.org/abs/2106.07889,2021.06.15,v1,2021.06.15,InterSpeech2021,2021.08.30,https://doi.org/10.21437/Interspeech.2021-1016,,,,,,,,,,,,,,,,,,2024.09.21
RAD-TTS: Parallel Flow-Based TTS with Robust Alignment Learning and Diverse Synthesis,RAD-TTS,,[Unavailable],2021.06.16,[Unavailable],[Unavailable],ICML2021Poster,,https://openreview.net/forum?id=0NQwnnwAORi,,,,,,,,,,Flow,,,,,,,,2024.09.24
WaveGrad 2: Iterative Refinement for Text-to-Speech Synthesis,WaveGrad2,Vocoder,https://arxiv.org/abs/2106.09660,2021.06.17,v2,2021.06.19,InterSpeech2021,2021.08.30,https://doi.org/10.21437/Interspeech.2021-1897,,,,,https://wavegrad.github.io/v2,,,https://scholar.google.com/scholar?cluster=7794140642380946818,52,,,,TTS,,,,,2024.09.24
LoRA: Low-Rank Adaptation of Large Language Models,LoRA,PEFT,https://arxiv.org/abs/2106.09685,2021.06.17,V2,2021.10.16,,,,,,,,,,,https://scholar.google.com/scholar?cluster=12933070321040047372,6603,,,,,,,,,2024.09.23
Glow-WaveGAN: Learning Speech Representations from GAN-Based Variational Auto-Encoder for High Fidelity Flow-Based Speech Synthesis,Glow-WaveGAN,,https://arxiv.org/abs/2106.10831,2021.06.21,v2,2021.06.22,InterSpeech2021,2021.08.30,https://doi.org/10.21437/Interspeech.2021-414,,,,,,,,https://scholar.google.com/scholar?cluster=2756717255530588573,29,Flow,,,TTS,,,,,2024.09.24
AdaSpeech 3: Adaptive Text to Speech for Spontaneous Style,AdaSpeech3,,https://arxiv.org/abs/2107.02530,2021.07.06,v1,2021.07.06,InterSpeech2021,2021.08.30,https://doi.org/10.21437/Interspeech.2021-584,,,,,,,,https://scholar.google.com/scholar?cluster=9301647847588887674,41,,,,TTS,,,,,2024.09.24
SoundStream: An End-to-End Neural Audio Codec,SoundStream,Codec,https://arxiv.org/abs/2107.03312,2021.07.07,v1,2021.07.07,IEEE/ACM@TASLP2021,,https://doi.org/10.1109/TASLP.2021.3129994,,,,,https://google-research.github.io/seanet/soundstream/examples/,13,68,,511,,,,,,,,,2024.10.10
W2v-BERT: Combining Contrastive Learning and Masked Language Modeling for Self-Supervised Speech Pre-Training,W2V-BERT,Representation,https://arxiv.org/abs/2108.06209,2021.08.07,v2,2021.09.13,IEEE@ASRU2021,,https://doi.org/10.1109/ASRU51503.2021.9688253,,,,,,,,https://scholar.google.com/scholar?cluster=1094787119642800600,379,,,,,,,,,2024.09.23
Neural HMMs are all you need (for high-quality attention-free TTS),Neural HMM TTS,,https://arxiv.org/abs/2108.13320,2021.08.30,v6,2022.02.16,ICASSP2022,2022.04.27,https://doi.org/10.1109/ICASSP43922.2022.9746686,"Shivam Mehta, Eva Szekely, Jonas Beskow, Gustav Eje Henter",,,,,,,,,,,,,,,,,2024.10.10
Text-Free Prosody-Aware Generative Spoken Language Modeling,pGSLM,SpeechLM,https://arxiv.org/abs/2109.03264,2021.09.07,v2,2022.05.10,ACL2022,2022.05.22,https://doi.org/10.18653/v1/2022.acl-long.593,"Eugene Kharitonov, Ann Lee, Adam Polyak, Yossi Adi, Jade Copet, Kushal Lakhotia, Tu-Anh Nguyen, Morgane Riviere, Abdelrahman Mohamed, Emmanuel Dupoux, Wei-Ning Hsu",,https://github.com/pytorch/fairseq/tree/main/examples/textless_nlp/pgslm,,https://speechbot.github.io/pgslm,16,X,https://scholar.google.com/scholar?cluster=6860409912627023988,114,,,,,,,,,2024.10.23
Diffusion-Based Voice Conversion with Fast Maximum Likelihood Sampling Scheme,DiffVC,VC,https://arxiv.org/abs/2109.13821,2021.09.28,v2,2022.08.04,ICLR2022Oral,2022.01.29,https://openreview.net/forum?id=8c50f-DoWAu,,,,,,,,https://scholar.google.com/scholar?cluster=17487782166390673105,95,,,,VC,,,,,2024.09.24
DelightfulTTS: The Microsoft Speech Synthesis System for Blizzard Challenge 2021,DelightfulTTS,,https://arxiv.org/abs/2110.12612,2021.10.15,v2,2021.11.19,,,,,,,,,,,,,,,,TTS,,,,,2024.09.24
VISinger: Variational Inference with Adversarial Learning for End-to-End Singing Voice Synthesis,VISinger,SVS,https://arxiv.org/abs/2110.08813,2021.10.17,v2,2022.02.24,ICASSP2022,,,,,,,,,,,,,,,,,,,,2024.09.23
SLAM: A Unified Encoder for Speech and Language Modeling via Speech-Text Joint Pre-Training,SLAM,,https://arxiv.org/abs/2110.10329,2021.10.20,v1,2021.10.20,[Unavailable],[Unavailable],[Unavailable],"Ankur Bapna, Yu-an Chung, Nan Wu, Anmol Gulati, Ye Jia, Jonathan H. Clark, Melvin Johnson, Jason Riesa, Alexis Conneau, Yu Zhang",,,,,13,X,https://scholar.google.com/scholar?cluster=1425876612245513028,88,,,,,,,,,2024.10.23
WavLM: Large-Scale Self-Supervised Pre-Training for Full Stack Speech Processing,WavLM,Representation,https://arxiv.org/abs/2110.13900,2021.10.26,v5,2022.06.17,IEEE@JSTSP2022,,https://doi.org/10.1109/JSTSP.2022.3188113,,,,,,,,https://scholar.google.com/scholar?cluster=10100955724765491326,1459,,,,,,,,,2024.09.24
